"","X2","X0.5","X0.5.1","X0.26"
"437",3,1,8.5,0.02
"438",3,1,9,0.12
"439",3,1,9.5,0.04
"440",3,1,10,0.06
"441",3,1.5,0.5,1
"442",3,1.5,1,0.74
"443",3,1.5,1.5,0.32
"444",3,1.5,2,0.24
"445",3,1.5,2.5,0.14
"446",3,1.5,3,0.06
"447",3,1.5,3.5,0.12
"448",3,1.5,4,0.08
"449",3,1.5,4.5,0.02
"450",3,1.5,5,0.08
"451",3,1.5,5.5,0.1
"452",3,1.5,6,0.04
"453",3,1.5,6.5,0.08
"454",3,1.5,7,0.1
"455",3,1.5,7.5,0.06
"456",3,1.5,8,0.06
"457",3,1.5,8.5,0.06
"458",3,1.5,9,0.06
"459",3,1.5,9.5,0.1
"460",3,1.5,10,0.06
"461",3,2,0.5,1
"462",3,2,1,0.94
"463",3,2,1.5,0.62
"464",3,2,2,0.38
"465",3,2,2.5,0.38
"466",3,2,3,0.28
"467",3,2,3.5,0.14
"468",3,2,4,0.18
"469",3,2,4.5,0.12
"470",3,2,5,0.08
"471",3,2,5.5,0.06
"472",3,2,6,0.1
"473",3,2,6.5,0.12
"474",3,2,7,0.08
"475",3,2,7.5,0.1
"476",3,2,8,0.08
"477",3,2,8.5,0.08
"478",3,2,9,0.08
"479",3,2,9.5,0.08
"480",3,2,10,0.04
"481",3,2.5,0.5,1
"482",3,2.5,1,0.98
"483",3,2.5,1.5,0.82
"484",3,2.5,2,0.58
"485",3,2.5,2.5,0.34
"486",3,2.5,3,0.4
"487",3,2.5,3.5,0.08
"488",3,2.5,4,0.22
"489",3,2.5,4.5,0.1
"490",3,2.5,5,0.16
"491",3,2.5,5.5,0.08
"492",3,2.5,6,0.12
"493",3,2.5,6.5,0.06
"494",3,2.5,7,0.06
"495",3,2.5,7.5,0.1
"496",3,2.5,8,0.06
"497",3,2.5,8.5,0.1
"498",3,2.5,9,0.04
"499",3,2.5,9.5,0.06
"500",3,2.5,10,0.06
"501",3,3,0.5,1
"502",3,3,1,1
"503",3,3,1.5,0.96
"504",3,3,2,0.68
"505",3,3,2.5,0.42
"506",3,3,3,0.4
"507",3,3,3.5,0.28
"508",3,3,4,0.16
"509",3,3,4.5,0.22
"510",3,3,5,0.2
"511",3,3,5.5,0.14
"512",3,3,6,0.08
"513",3,3,6.5,0.1
"514",3,3,7,0.14
"515",3,3,7.5,0.1
"516",3,3,8,0.08
"517",3,3,8.5,0.12
"518",3,3,9,0.06
"519",3,3,9.5,0.14
"520",3,3,10,0.08
"521",3,3.5,0.5,1
"522",3,3.5,1,1
"523",3,3.5,1.5,0.94
"524",3,3.5,2,0.74
"525",3,3.5,2.5,0.52
"526",3,3.5,3,0.58
"527",3,3.5,3.5,0.42
"528",3,3.5,4,0.46
"529",3,3.5,4.5,0.22
"530",3,3.5,5,0.32
"531",3,3.5,5.5,0.14
"532",3,3.5,6,0.08
"533",3,3.5,6.5,0.12
"534",3,3.5,7,0.06
"535",3,3.5,7.5,0.08
"536",3,3.5,8,0.2
